pokemon_1,pokemon_2,winner,label,turns
Reshiram,Combusken,Reshiram,1,1
Rolycoly,Flabebe,Flabebe,0,2
Accelgor,Dubwool,Dubwool,0,2
Bonsly,Glimmora,Glimmora,0,2
Sunflora,Azelf,Azelf,0,2
Mewtwo,Naclstack,Mewtwo,1,2
Butterfree,Magcargo,Magcargo,0,1
Scovillain,Exeggutor,Scovillain,1,2
Chespin,Floragato,Floragato,0,2
Flamigo,Pawmo,Flamigo,1,1
Iron-Jugulis,Manaphy,Manaphy,0,3
Flittle,Clobbopus,Flittle,1,1
Zubat,Drampa,Drampa,0,1
Impidimp,Drapion,Drapion,0,1
Celesteela,Barbaracle,Barbaracle,0,4
Florges,Stunky,Florges,1,1
Zorua,Cursola,Cursola,0,1
Yveltal,Abomasnow,Yveltal,1,1
Kadabra,Herdier,Herdier,0,1
Smeargle,Riolu,Riolu,0,1
Smeargle,Seviper,Seviper,0,1
Sandygast,Scorbunny,Sandygast,1,1
Tepig,Snubbull,Tepig,1,3
Raichu,Grimmsnarl,Grimmsnarl,0,2
Darumaka,Iron-Bundle,Iron-Bundle,0,1
Fletchling,Samurott,Samurott,0,1
Emboar,Scovillain,Emboar,1,2
Cinccino,Archen,Cinccino,1,2
Veluza,Iron-Valiant,Iron-Valiant,0,2
Sliggoo,Snom,Sliggoo,1,1
Arboliva,Darmanitan-Standard,Darmanitan-Standard,0,3
Ducklett,Dunsparce,Dunsparce,0,2
Klink,Marshtomp,Marshtomp,0,1
Raichu,Vanillish,Raichu,1,2
Rookidee,Miraidon,Miraidon,0,1
Aggron,Golurk,Golurk,0,1
Grapploct,Lickilicky,Grapploct,1,2
Pineco,Drifblim,Drifblim,0,2
Finizen,Ferroseed,Ferroseed,0,3
Weavile,Aggron,Aggron,0,1
Mandibuzz,Frillish-Male,Mandibuzz,1,2
Magneton,Dreepy,Magneton,1,1
Oddish,Krokorok,Oddish,1,1
Sprigatito,Zorua,Zorua,0,1
Miraidon,Hoppip,Miraidon,1,1
Sneasel,Flygon,Sneasel,1,2
Landorus-Incarnate,Munna,Landorus-Incarnate,1,2
Barraskewda,Rhydon,Barraskewda,1,1
Sprigatito,Hitmonlee,Hitmonlee,0,1
Calyrex,Iron-Jugulis,Iron-Jugulis,0,2
Sunkern,Weavile,Weavile,0,1
Miltank,Gulpin,Miltank,1,2
Hariyama,Tapu-Lele,Tapu-Lele,0,2
Tyrantrum,Petilil,Tyrantrum,1,1
Ting-Lu,Lairon,Ting-Lu,1,1
Silvally,Naclstack,Silvally,1,3
Minun,Munkidori,Munkidori,0,2
Armarouge,Nidoran-M,Armarouge,1,1
Swalot,Meganium,Swalot,1,2
Bruxish,Genesect,Genesect,0,1
Geodude,Kabutops,Kabutops,0,1
Electivire,Politoed,Electivire,1,2
Onix,Spewpa,Onix,1,2
Feebas,Absol,Absol,0,1
Loudred,Probopass,Probopass,0,3
Alcremie,Pansear,Alcremie,1,2
Elgyem,Vileplume,Vileplume,0,2
Archaludon,Emolga,Archaludon,1,1
Chimchar,Simisear,Simisear,0,2
Deino,Sneasler,Sneasler,0,1
Elgyem,Floette,Floette,0,2
Lunatone,Woobat,Lunatone,1,1
Helioptile,Tyrogue,Helioptile,1,1
Lickilicky,Raboot,Lickilicky,1,2
Seismitoad,Dhelmise,Dhelmise,0,1
Meowth,Skiddo,Skiddo,0,1
Mienfoo,Rolycoly,Mienfoo,1,1
Walking-Wake,Smoochum,Walking-Wake,1,1
Arboliva,Bewear,Bewear,0,2
Girafarig,Ting-Lu,Ting-Lu,0,2
Fomantis,Gumshoos,Gumshoos,0,1
Nacli,Skiploom,Skiploom,0,1
Gloom,Cubone,Gloom,1,1
Cherrim,Kabutops,Cherrim,1,1
Froslass,Gogoat,Gogoat,0,2
Mantine,Persian,Mantine,1,3
Octillery,Fidough,Octillery,1,1
Stunfisk,Bellibolt,Bellibolt,0,3
Marshtomp,Tirtouga,Marshtomp,1,2
Dracovish,Pineco,Dracovish,1,1
Chatot,Arctozolt,Arctozolt,0,1
Clobbopus,Quagsire,Quagsire,0,2
Togepi,Sunkern,Togepi,1,1
Scyther,Furfrou,Scyther,1,2
Foongus,Virizion,Virizion,0,2
Fomantis,Tyrogue,Fomantis,1,1
Psyduck,Petilil,Psyduck,1,1
Tyrunt,Diancie,Diancie,0,1
Rookidee,Snorlax,Snorlax,0,1
Chatot,Pyukumuku,Pyukumuku,0,4
Stantler,Klefki,Klefki,0,3
Roggenrola,Jellicent-Male,Jellicent-Male,0,1
Wynaut,Wurmple,Wurmple,0,2
Jigglypuff,Maschiff,Maschiff,0,2
Oddish,Vivillon,Vivillon,0,1
Cutiefly,Ampharos,Ampharos,0,1
Furret,Thwackey,Furret,1,3
Mawile,Palkia,Palkia,0,1
Illumise,Cyndaquil,Cyndaquil,0,2
Fletchinder,Meloetta-Aria,Meloetta-Aria,0,2
Larvesta,Bramblin,Larvesta,1,1
Totodile,Sudowoodo,Totodile,1,2
Deoxys-Normal,Bunnelby,Deoxys-Normal,1,1
Pawmot,Scizor,Pawmot,1,3
Ducklett,Buzzwole,Buzzwole,0,2
Lunala,Vanillite,Lunala,1,1
Medicham,Aromatisse,Aromatisse,0,1
Poipole,Wurmple,Poipole,1,1
Type-Null,Gogoat,Gogoat,0,4
Gardevoir,Carvanha,Gardevoir,1,1
Rapidash,Skrelp,Rapidash,1,2
Whiscash,Spectrier,Whiscash,1,3
Staraptor,Lurantis,Staraptor,1,2
Cacturne,Rampardos,Cacturne,1,1
Bounsweet,Qwilfish,Qwilfish,0,1
Pichu,Vibrava,Vibrava,0,1
Glastrier,Skiploom,Glastrier,1,1
Golduck,Sizzlipede,Golduck,1,1
Ariados,Golisopod,Golisopod,0,3
Wugtrio,Nymble,Wugtrio,1,1
Spiritomb,Meditite,Spiritomb,1,1
Amoonguss,Giratina-Altered,Giratina-Altered,0,3
Exploud,Ferroseed,Exploud,1,3
Golbat,Necrozma,Necrozma,0,1
Nidoking,Trumbeak,Nidoking,1,1
Shuckle,Aegislash-Shield,Aegislash-Shield,0,2
Farigiraf,Beldum,Farigiraf,1,3
Glimmora,Pidove,Glimmora,1,1
Krabby,Doublade,Doublade,0,1
Ursaluna,Lunala,Lunala,0,3
Tynamo,Greninja,Greninja,0,1
Quaquaval,Frosmoth,Quaquaval,1,2
Goldeen,Meganium,Meganium,0,1
Trapinch,Kadabra,Kadabra,0,1
Tentacool,Marshtomp,Marshtomp,0,1
Machoke,Roselia,Roselia,0,2
Zoroark,Simisage,Zoroark,1,2
Quaquaval,Happiny,Quaquaval,1,1
Iron-Valiant,Shieldon,Iron-Valiant,1,1
Quaxly,Flaaffy,Flaaffy,0,1
Eevee,Joltik,Eevee,1,2
Burmy,Shroomish,Shroomish,0,3
Farigiraf,Appletun,Farigiraf,1,2
Goodra,Zigzagoon,Goodra,1,1
Salamence,Wurmple,Salamence,1,1
Torchic,Illumise,Torchic,1,2
Shinx,Cofagrigus,Cofagrigus,0,1
Cradily,Gulpin,Cradily,1,2
Spinarak,Gengar,Gengar,0,1
Purugly,Sinistea,Purugly,1,2
Dubwool,Axew,Dubwool,1,1
Clobbopus,Iron-Hands,Iron-Hands,0,1
Braixen,Phantump,Braixen,1,1
Slugma,Braixen,Braixen,0,2
Hattrem,Purrloin,Hattrem,1,1
Tornadus-Incarnate,Torterra,Tornadus-Incarnate,1,1
Iron-Boulder,Durant,Durant,0,2
Palafin-Zero,Sawsbuck,Sawsbuck,0,2
Bidoof,Ribombee,Ribombee,0,1
Cinccino,Entei,Entei,0,2
Corviknight,Pecharunt,Pecharunt,0,5
Clefairy,Morelull,Clefairy,1,2
Houndstone,Whirlipede,Houndstone,1,2
Bruxish,Mawile,Bruxish,1,2
Arrokuda,Buizel,Buizel,0,2
Drifloon,Vivillon,Vivillon,0,2
Leavanny,Iron-Hands,Iron-Hands,0,3
Sigilyph,Foongus,Sigilyph,1,1
Melmetal,Klefki,Melmetal,1,2
Dudunsparce-Two-Segment,Mime-Jr,Dudunsparce-Two-Segment,1,1
Gardevoir,Octillery,Gardevoir,1,2
Barraskewda,Espurr,Barraskewda,1,2
Cetitan,Tatsugiri-Curly,Cetitan,1,3
Hatenna,Snorunt,Snorunt,0,2
Jellicent-Male,Ponyta,Jellicent-Male,1,1
Vanillish,Squawkabilly-Green-Plumage,Vanillish,1,1
Tinkaton,Scraggy,Tinkaton,1,1
Wattrel,Woobat,Woobat,0,1
Starly,Wynaut,Wynaut,0,2
Tatsugiri-Curly,Talonflame,Tatsugiri-Curly,1,1
Whimsicott,Furfrou,Furfrou,0,3
Volcarona,Miltank,Miltank,0,3
Lucario,Herdier,Lucario,1,1
Lechonk,Oricorio-Baile,Oricorio-Baile,0,2
Skiddo,Enamorus-Incarnate,Enamorus-Incarnate,0,1
Hoppip,Quaxwell,Quaxwell,0,1
Armarouge,Seaking,Armarouge,1,3
Jynx,Aerodactyl,Aerodactyl,0,1
Relicanth,Wingull,Relicanth,1,1
Kommo-O,Nymble,Kommo-O,1,1
Seedot,Avalugg,Avalugg,0,1
Poochyena,Lumineon,Lumineon,0,1
Toedscruel,Alcremie,Alcremie,0,2
Impidimp,Nidorino,Nidorino,0,1
Lechonk,Voltorb,Voltorb,0,2
Jellicent-Male,Uxie,Jellicent-Male,1,4
Eiscue-Ice,Fezandipiti,Fezandipiti,0,4
Seaking,Arrokuda,Seaking,1,2
Bewear,Aipom,Bewear,1,1
Magnemite,Mewtwo,Mewtwo,0,1
Garchomp,Dudunsparce-Two-Segment,Dudunsparce-Two-Segment,0,2
Farigiraf,Serperior,Farigiraf,1,2
Durant,Palpitoad,Durant,1,2
Pachirisu,Bewear,Bewear,0,2
Elgyem,Volbeat,Volbeat,0,1
Patrat,Iron-Crown,Iron-Crown,0,1
Wo-Chien,Roaring-Moon,Roaring-Moon,0,4
Gardevoir,Porygon-Z,Gardevoir,1,2
Gholdengo,Nidorino,Gholdengo,1,2
Dracovish,Gorebyss,Dracovish,1,3
Lickilicky,Cryogonal,Lickilicky,1,2
Kangaskhan,Raticate,Kangaskhan,1,2
Grimer,Glaceon,Glaceon,0,2
Machamp,Gorebyss,Machamp,1,2
Totodile,Cubchoo,Totodile,1,2
Slakoth,Sentret,Slakoth,1,1
Glastrier,Probopass,Glastrier,1,1
Scorbunny,Flabebe,Scorbunny,1,2
Bruxish,Togetic,Bruxish,1,3
Durant,Skeledirge,Skeledirge,0,1
Lokix,Boltund,Boltund,0,2
Toxel,Pheromosa,Pheromosa,0,1
Tepig,Armaldo,Armaldo,0,1
Nosepass,Gyarados,Gyarados,0,1
Totodile,Crabominable,Crabominable,0,1
Kricketot,Tadbulb,Tadbulb,0,1
Aegislash-Shield,Bruxish,Aegislash-Shield,1,2
Burmy,Dudunsparce-Two-Segment,Dudunsparce-Two-Segment,0,1
Ferroseed,Iron-Valiant,Iron-Valiant,0,1
Gothorita,Stakataka,Stakataka,0,2
Honchkrow,Calyrex,Honchkrow,1,2
Musharna,Gulpin,Musharna,1,1
Dudunsparce-Two-Segment,Rookidee,Dudunsparce-Two-Segment,1,1
Golem,Charjabug,Golem,1,1
Togepi,Octillery,Octillery,0,1
Cloyster,Skwovet,Cloyster,1,2
Croagunk,Quaxwell,Quaxwell,0,2
Beheeyem,Clobbopus,Beheeyem,1,1
Ninjask,Noibat,Ninjask,1,1
Iron-Treads,Noibat,Iron-Treads,1,1
Braixen,Omanyte,Omanyte,0,1
Octillery,Lunatone,Octillery,1,2
Regice,Kyogre,Kyogre,0,5
Thundurus-Incarnate,Xurkitree,Xurkitree,0,2
Igglybuff,Shiftry,Shiftry,0,1
Oranguru,Nincada,Oranguru,1,1
Tapu-Lele,Runerigus,Tapu-Lele,1,2
Vigoroth,Rayquaza,Rayquaza,0,2
Okidogi,Carkol,Okidogi,1,2
Klink,Machoke,Machoke,0,1
Ceruledge,Munkidori,Ceruledge,1,1
Araquanid,Seel,Araquanid,1,2
Machoke,Pawmo,Machoke,1,1
Miltank,Regigigas,Regigigas,0,3
Lileep,Talonflame,Lileep,1,2
Silicobra,Mr-Mime,Mr-Mime,0,1
Ludicolo,Simisage,Ludicolo,1,2
Sandygast,Fidough,Sandygast,1,2
Gholdengo,Florges,Gholdengo,1,2
Gyarados,Cinderace,Gyarados,1,2
Iron-Moth,Goomy,Iron-Moth,1,1
Maschiff,Nidoking,Nidoking,0,2
Lombre,Mienfoo,Mienfoo,0,2
Barboach,Hitmonchan,Hitmonchan,0,1
Uxie,Dracozolt,Uxie,1,3
Sirfetchd,Lombre,Sirfetchd,1,1
Granbull,Scizor,Scizor,0,2
Whismur,Kabutops,Kabutops,0,1
Basculegion-Male,Hoopa,Basculegion-Male,1,1
Sandaconda,Floragato,Floragato,0,2
Landorus-Incarnate,Slakoth,Landorus-Incarnate,1,2
Golduck,Stunfisk,Stunfisk,0,2
Solgaleo,Phanpy,Solgaleo,1,2
Nihilego,Obstagoon,Nihilego,1,4
Blipbug,Crobat,Crobat,0,1
Pichu,Hydreigon,Hydreigon,0,1
Sharpedo,Floette,Floette,0,1
Flareon,Larvesta,Flareon,1,2
Chansey,Zweilous,Zweilous,0,1
Raichu,Gardevoir,Gardevoir,0,2
Sandile,Blissey,Blissey,0,1
Lapras,Sawk,Sawk,0,2
Lurantis,Camerupt,Camerupt,0,2
Oshawott,Onix,Oshawott,1,1
Tentacruel,Impidimp,Tentacruel,1,1
Froakie,Maractus,Maractus,0,1
Lickitung,Gorebyss,Gorebyss,0,3
Ferrothorn,Golurk,Golurk,0,3
Venomoth,Froslass,Froslass,0,3
Morgrem,Miraidon,Miraidon,0,2
Arrokuda,Tsareena,Tsareena,0,1
Nuzleaf,Meltan,Nuzleaf,1,2
Stakataka,Flabebe,Stakataka,1,1
Octillery,Sharpedo,Octillery,1,2
Larvitar,Politoed,Politoed,0,1
Farfetchd,Chatot,Chatot,0,2
Gurdurr,Tropius,Tropius,0,2
Slakoth,Lugia,Lugia,0,1
Cascoon,Budew,Budew,0,2
Vileplume,Eevee,Vileplume,1,2
Cubone,Lileep,Lileep,0,1
Kommo-O,Stonjourner,Kommo-O,1,1
Gothita,Quaquaval,Quaquaval,0,2
Electabuzz,Flaaffy,Electabuzz,1,3
Iron-Jugulis,Sliggoo,Iron-Jugulis,1,2
Gothitelle,Staryu,Gothitelle,1,1
Dusknoir,Spinda,Dusknoir,1,3
Dusclops,Snorunt,Dusclops,1,2
Shedinja,Deoxys-Normal,Deoxys-Normal,0,1
Deino,Wynaut,Deino,1,2
Wormadam-Plant,Cascoon,Wormadam-Plant,1,1
Talonflame,Mr-Mime,Talonflame,1,2
Passimian,Thwackey,Passimian,1,2
Baxcalibur,Chespin,Baxcalibur,1,1
Pikipek,Mantyke,Mantyke,0,1
Eelektross,Poochyena,Eelektross,1,1
Marshadow,Machoke,Marshadow,1,2
Honedge,Feraligatr,Feraligatr,0,1
Bellossom,Binacle,Bellossom,1,1
Omastar,Zygarde-50,Zygarde-50,0,2
Iron-Leaves,Turtonator,Iron-Leaves,1,3
Tympole,Sneasel,Sneasel,0,2
Sandy-Shocks,Kadabra,Sandy-Shocks,1,1
Weezing,Steelix,Steelix,0,2
Umbreon,Exeggcute,Umbreon,1,1
Rhydon,Crabrawler,Rhydon,1,1
Great-Tusk,Rampardos,Great-Tusk,1,1
Ariados,Glimmora,Glimmora,0,2
Registeel,Bewear,Bewear,0,2
Pinsir,Manectric,Manectric,0,2
Electabuzz,Nihilego,Nihilego,0,3
Sableye,Pupitar,Pupitar,0,2
Sentret,Urshifu-Single-Strike,Urshifu-Single-Strike,0,1
Drilbur,Delphox,Delphox,0,1
Pheromosa,Raboot,Raboot,0,1
Raichu,Morgrem,Raichu,1,2
Gligar,Sawsbuck,Sawsbuck,0,1
Swadloon,Tapu-Koko,Tapu-Koko,0,2
Corviknight,Slowbro,Slowbro,0,4
Meowscarada,Greninja,Greninja,0,2
Passimian,Horsea,Passimian,1,1
Nickit,Wingull,Wingull,0,2
Machamp,Charcadet,Machamp,1,1
Morelull,Capsakid,Morelull,1,1
Tsareena,Chien-Pao,Chien-Pao,0,2
Politoed,Vanilluxe,Politoed,1,3
Rattata,Greavard,Greavard,0,2
Tirtouga,Milcery,Tirtouga,1,1
Mienfoo,Raboot,Raboot,0,2
Reuniclus,Haxorus,Reuniclus,1,2
Haxorus,Deoxys-Normal,Deoxys-Normal,0,1
Thievul,Delphox,Thievul,1,2
Torterra,Carbink,Torterra,1,2
Feebas,Bagon,Bagon,0,1
Metang,Binacle,Metang,1,2
Klawf,Blissey,Klawf,1,2
Jangmo-O,Haxorus,Haxorus,0,1
Bastiodon,Dedenne,Bastiodon,1,3
Sigilyph,Mismagius,Mismagius,0,2
Dracozolt,Nickit,Dracozolt,1,1
Rampardos,Oranguru,Rampardos,1,2
Goodra,Virizion,Virizion,0,3
Shiftry,Dedenne,Dedenne,0,2
Abomasnow,Dustox,Dustox,0,3
Kingler,Corsola,Corsola,0,4
Sneasel,Blissey,Sneasel,1,1
Shieldon,Sawk,Sawk,0,1
Applin,Elgyem,Elgyem,0,1
Scream-Tail,Meowstic-Male,Scream-Tail,1,4
Exeggutor,Forretress,Forretress,0,1
Tornadus-Incarnate,Frosmoth,Tornadus-Incarnate,1,1
Gengar,Raticate,Gengar,1,2
Sunkern,Comfey,Comfey,0,1
Charcadet,Dwebble,Dwebble,0,1
Cursola,Crawdaunt,Crawdaunt,0,2
Calyrex,Shelgon,Calyrex,1,2
Iron-Treads,Gholdengo,Iron-Treads,1,2
Snover,Clawitzer,Clawitzer,0,2
Cosmog,Lairon,Lairon,0,1
Rhydon,Arbok,Rhydon,1,1
Barboach,Meganium,Meganium,0,1
Zorua,Cubone,Zorua,1,1
Azelf,Furret,Azelf,1,2
Vulpix,Qwilfish,Qwilfish,0,1
Hoppip,Pawniard,Pawniard,0,1
Charcadet,Aurorus,Aurorus,0,1
Squawkabilly-Green-Plumage,Doublade,Doublade,0,2
Sylveon,Popplio,Sylveon,1,2
Vigoroth,Coalossal,Coalossal,0,3
Grovyle,Pawmot,Pawmot,0,1
Iron-Boulder,Blastoise,Iron-Boulder,1,3
Buzzwole,Diggersby,Buzzwole,1,1
Purrloin,Sigilyph,Sigilyph,0,1
Nuzleaf,Surskit,Surskit,0,1
Cubchoo,Reshiram,Reshiram,0,1
Burmy,Honchkrow,Honchkrow,0,1
Ludicolo,Walrein,Ludicolo,1,3
Sawsbuck,Mr-Rime,Mr-Rime,0,2
Emolga,Simisear,Simisear,0,2
Abomasnow,Celesteela,Celesteela,0,2
Tornadus-Incarnate,Rhyhorn,Tornadus-Incarnate,1,1
Meowscarada,Magnezone,Magnezone,0,2
Eelektrik,Lokix,Lokix,0,2
Leavanny,Beautifly,Beautifly,0,1
Carvanha,Magneton,Magneton,0,1
Accelgor,Roaring-Moon,Roaring-Moon,0,2
Spinda,Clobbopus,Clobbopus,0,1
Doublade,Honedge,Doublade,1,1
Flamigo,Rattata,Flamigo,1,1
Emboar,Magneton,Emboar,1,1
Solgaleo,Gigalith,Solgaleo,1,2
Shellder,Lampent,Lampent,0,1
Umbreon,Baltoy,Umbreon,1,1
Jolteon,Purugly,Jolteon,1,2
Urshifu-Single-Strike,Dragonair,Urshifu-Single-Strike,1,2
Zapdos,Magmortar,Zapdos,1,3
Gengar,Dragonite,Gengar,1,2
Jangmo-O,Grookey,Grookey,0,2
Elgyem,Makuhita,Elgyem,1,1
Oranguru,Ekans,Oranguru,1,1
Metapod,Meltan,Meltan,0,2
Shedinja,Flygon,Flygon,0,1
Smeargle,Shelgon,Shelgon,0,2
Omanyte,Simisear,Omanyte,1,2
Staravia,Quilladin,Staravia,1,2
Cufant,Cradily,Cufant,1,2
Kingambit,Toedscool,Kingambit,1,1
Ariados,Gothorita,Ariados,1,1
Typhlosion,Cyndaquil,Typhlosion,1,2
Golem,Conkeldurr,Conkeldurr,0,2
Galvantula,Shiftry,Galvantula,1,1
Fearow,Manaphy,Manaphy,0,2
Skitty,Iron-Bundle,Iron-Bundle,0,1
Gallade,Magikarp,Gallade,1,1
Crabominable,Pheromosa,Pheromosa,0,2
Sigilyph,Sewaddle,Sigilyph,1,1
Turtonator,Mudbray,Mudbray,0,2
Klefki,Baxcalibur,Baxcalibur,0,3
Raikou,Gliscor,Raikou,1,1
Farigiraf,Dudunsparce-Two-Segment,Farigiraf,1,4
Jigglypuff,Swanna,Swanna,0,2
Whismur,Salamence,Salamence,0,1
Dedenne,Dolliv,Dedenne,1,2
Morgrem,Meditite,Morgrem,1,1
Slowbro,Miltank,Slowbro,1,3
Slither-Wing,Dhelmise,Dhelmise,0,2
Pichu,Swanna,Swanna,0,1
Butterfree,Beedrill,Beedrill,0,2
Swalot,Frosmoth,Frosmoth,0,3
Stufful,Iron-Bundle,Iron-Bundle,0,2
Glaceon,Lechonk,Glaceon,1,1
Rookidee,Helioptile,Helioptile,0,1
Hitmonchan,Flygon,Flygon,0,2
Sawk,Carnivine,Sawk,1,2
Goldeen,Absol,Absol,0,2
Gallade,Armaldo,Armaldo,0,2
Wooloo,Bastiodon,Bastiodon,0,2
Archeops,Rhyperior,Rhyperior,0,1
Tympole,Absol,Absol,0,1
Eelektrik,Tyrantrum,Tyrantrum,0,2
Silvally,Iron-Bundle,Iron-Bundle,0,3
Glaceon,Keldeo-Ordinary,Keldeo-Ordinary,0,2
Hawlucha,Quilava,Hawlucha,1,2
Chimchar,Iron-Boulder,Iron-Boulder,0,1
Whirlipede,Ambipom,Ambipom,0,2
Walking-Wake,Kakuna,Walking-Wake,1,1
Slither-Wing,Bounsweet,Slither-Wing,1,1
Cofagrigus,Iron-Valiant,Iron-Valiant,0,2
Runerigus,Clodsire,Runerigus,1,2
Mabosstiff,Keldeo-Ordinary,Keldeo-Ordinary,0,2
Sawk,Regigigas,Regigigas,0,2
Toxapex,Rookidee,Toxapex,1,1
Yanmega,Forretress,Forretress,0,3
Keldeo-Ordinary,Arctibax,Keldeo-Ordinary,1,2
Veluza,Murkrow,Veluza,1,1
Swoobat,Sliggoo,Sliggoo,0,2
Vanillish,Popplio,Vanillish,1,3
Cursola,Gossifleur,Cursola,1,1
Togekiss,Reshiram,Reshiram,0,2
Rockruff,Pawmot,Pawmot,0,1
Mesprit,Simipour,Mesprit,1,2
Psyduck,Raboot,Raboot,0,2
Leafeon,Herdier,Leafeon,1,3
Crustle,Quaxly,Crustle,1,1
Armarouge,Kubfu,Armarouge,1,1
Bergmite,Flutter-Mane,Flutter-Mane,0,1
Mudsdale,Cramorant,Mudsdale,1,2
Miraidon,Tatsugiri-Curly,Miraidon,1,1
Porygon-Z,Beedrill,Porygon-Z,1,2
Komala,Drapion,Drapion,0,2
Vanilluxe,Sandile,Vanilluxe,1,1
Alomomola,Skarmory,Alomomola,1,5
Klawf,Alakazam,Alakazam,0,2
Prinplup,Pansear,Prinplup,1,1
Liepard,Cosmog,Liepard,1,1
Bellsprout,Cranidos,Cranidos,0,1
Buneary,Glimmet,Glimmet,0,2
Brute-Bonnet,Haxorus,Brute-Bonnet,1,3
Dewgong,Cetoddle,Dewgong,1,3
Gulpin,Swinub,Swinub,0,2
Starly,Gloom,Gloom,0,1
Iron-Moth,Spectrier,Spectrier,0,3
Carvanha,Pawmi,Carvanha,1,1
Ivysaur,Togedemaru,Togedemaru,0,2
Buzzwole,Torterra,Buzzwole,1,2
Porygon,Shellder,Porygon,1,2
Xurkitree,Chi-Yu,Chi-Yu,0,2
Lopunny,Koraidon,Koraidon,0,1
Electabuzz,Crabominable,Crabominable,0,2
Zapdos,Golurk,Zapdos,1,2
Liepard,Huntail,Liepard,1,2
Eiscue-Ice,Heracross,Heracross,0,2
Rowlet,Kyurem,Kyurem,0,1
Cramorant,Dracovish,Dracovish,0,3
Vanillish,Nidoking,Nidoking,0,2
Archen,Swalot,Swalot,0,2
Skwovet,Munchlax,Munchlax,0,2
Shelmet,Ponyta,Ponyta,0,2
Sinistea,Pupitar,Pupitar,0,1
Arbok,Kommo-O,Kommo-O,0,2
Stakataka,Quaxwell,Quaxwell,0,2
Cetitan,Electrode,Cetitan,1,3
Watchog,Serperior,Serperior,0,3
Bisharp,Anorith,Bisharp,1,1
Nosepass,Sneasler,Sneasler,0,1
Passimian,Wailmer,Passimian,1,2
Foongus,Nidoran-F,Nidoran-F,0,3
Nincada,Ninetales,Ninetales,0,1
Roggenrola,Feebas,Roggenrola,1,1
Rellor,Pidgeot,Pidgeot,0,1
Vikavolt,Piloswine,Piloswine,0,3
Tadbulb,Vileplume,Vileplume,0,1
Chi-Yu,Blacephalon,Chi-Yu,1,1
Mienshao,Palkia,Palkia,0,2
Gothita,Magnezone,Magnezone,0,1
Flaaffy,Hakamo-O,Hakamo-O,0,2
Virizion,Pangoro,Virizion,1,2
Swellow,Arctozolt,Arctozolt,0,1
Torkoal,Quilladin,Torkoal,1,1
Nosepass,Poliwhirl,Poliwhirl,0,2
Sigilyph,Minun,Sigilyph,1,2
Mamoswine,Probopass,Mamoswine,1,1
Dondozo,Shiftry,Shiftry,0,3
Krookodile,Arrokuda,Krookodile,1,1
Floatzel,Flareon,Floatzel,1,2
Indeedee-Male,Eldegoss,Indeedee-Male,1,2
Slowpoke,Octillery,Octillery,0,3
Ferroseed,Ursaluna,Ursaluna,0,2
Shedinja,Klawf,Klawf,0,1
Donphan,Relicanth,Relicanth,0,3
Pansear,Scatterbug,Pansear,1,1
Sceptile,Hoppip,Sceptile,1,1
Tapu-Bulu,Trapinch,Tapu-Bulu,1,1
Malamar,Medicham,Malamar,1,3
Pidove,Raichu,Raichu,0,1
Butterfree,Dipplin,Butterfree,1,2
Zorua,Drifblim,Drifblim,0,1
Golem,Azurill,Golem,1,1
