hp_diff,attack_diff,defense_diff,sp_atk_diff,sp_def_diff,speed_diff,speed_advantage,base_stat_total_diff,p1_type_advantage,p2_type_advantage,type_advantage_diff,p1_effective_power,p2_effective_power,effective_power_diff,effective_power_ratio,p1_best_move_multiplier,p2_best_move_multiplier,best_move_multiplier_diff,p1_ttk_estimate,p2_ttk_estimate,ttk_diff,label
7,31,69,-41,-21,-24,-1,21,2.0,1.0,1.0,261.552,135.25423728813558,126.29776271186444,1.9337804511278198,2.0,2.0,0.0,0.5734997247201321,1.2125313283208021,0.63903160360067,1
10,-11,-15,-34,5,10,1,-35,1.0,0.5,0.5,82.80000000000001,90.82666666666665,-8.026666666666642,0.9116265413975341,2.0,2.0,0.0,0.8454106280193235,0.9908984145625368,0.14548778654321326,1
2,78,-35,-43,-55,-27,-1,-80,2.0,1.0,1.0,182.0,87.65333333333334,94.34666666666666,2.0763614237906904,2.0,1.0,1.0,0.7142857142857143,1.528749619714025,0.8144639054283106,1
22,27,23,53,55,25,1,205,0.5,1.0,-0.5,114.64,32.333333333333336,82.30666666666667,3.545567010309278,1.0,1.0,0.0,0.6629448709002094,3.7113402061855667,3.0483953352853574,1
40,-25,15,-80,5,-45,-1,-90,0.5,0.5,0.0,41.13333333333333,104.04210526315791,-62.908771929824574,0.3953527586672062,1.0,2.0,-1.0,3.4035656401944894,2.1145285309591255,-1.2890371092353639,0
-28,-50,-86,-20,-66,27,1,-223,0.5,1.0,-0.5,24.114285714285714,88.01694915254238,-63.90266343825667,0.2739732056889769,2.0,1.0,1.0,4.81042654028436,0.681686886192952,-4.128739654091408,0
21,44,25,-53,25,-12,-1,50,1.0,2.0,-1.0,107.78769230769231,152.66666666666666,-44.87897435897435,0.7060329190460195,1.0,2.0,-1.0,1.2988495903628214,1.1921397379912664,-0.10670985237155506,0
5,5,15,-15,0,0,0,10,2.0,0.5,1.5,97.19999999999999,120.64,-23.440000000000012,0.8057029177718832,2.0,4.0,-2.0,1.440329218106996,1.243368700265252,-0.19696051784174395,0
-40,-29,-50,50,-24,33,1,-60,1.0,1.0,0.0,78.42857142857143,120.91999999999999,-42.49142857142856,0.6485988374840509,1.0,1.0,0.0,2.5500910746812386,0.9923916639100233,-1.5576994107712152,0
5,-15,-20,20,20,-25,-1,-15,0.5,0.5,0.0,61.66666666666667,41.6,20.06666666666667,1.482371794871795,1.0,1.0,0.0,2.918918918918919,4.5673076923076925,1.6483887733887737,1
-37,-58,-27,-21,-20,-58,-1,-221,2.0,0.5,1.5,96.51428571428573,92.04651162790698,4.467774086378753,1.0485382227676316,2.0,1.0,1.0,1.5748963883955,0.8473976755937341,-0.7274987128017659,0
15,17,32,-30,0,46,1,80,2.0,1.0,1.0,182.64000000000001,90.96470588235293,91.67529411764708,2.007811691670978,2.0,2.0,0.0,0.8212877792378449,1.9787894464562858,1.1575016672184408,1
-11,7,11,-9,-15,17,1,0,1.0,2.0,-1.0,74.46666666666667,105.3142857142857,-30.847619047619034,0.7070898896726353,1.0,2.0,-1.0,2.9811996418979407,1.8990775908844277,-1.082122051013513,0
45,5,46,-20,45,-3,-1,118,1.0,0.5,0.5,338.4,55.800000000000004,282.59999999999997,6.064516129032257,2.0,1.0,1.0,0.26595744680851063,3.225806451612903,2.9598490048043926,1
-35,-37,-43,-55,-35,15,1,-190,0.5,1.0,-0.5,31.215999999999998,96.1764705882353,-64.96047058823531,0.32457003058103967,1.0,1.0,0.0,6.406970784213224,1.3516819571865442,-5.05528882702668,0
-45,-45,20,-70,-25,-60,-1,-225,1.0,1.0,0.0,63.34285714285714,149.66666666666666,-86.32380952380952,0.42322621699013685,1.0,1.0,0.0,2.368064952638701,0.400890868596882,-1.9671740840418193,0
-20,-30,25,60,0,30,1,65,1.0,0.5,0.5,93.51428571428572,26.510526315789477,67.00375939849624,3.5274398026035905,1.0,0.5,0.5,1.4970974641002137,3.7720865594599955,2.274989095359782,1
10,35,0,5,-30,15,1,35,0.25,2.0,-1.75,44.74285714285715,81.42857142857143,-36.68571428571428,0.5494736842105263,1.0,2.0,-1.0,2.6819923371647505,1.719298245614035,-0.9626940915507154,0
33,11,-16,21,-16,67,1,100,0.25,1.0,-0.75,16.17241379310345,49.992000000000004,-33.81958620689656,0.3235000358678078,0.5,1.0,-0.5,8.285714285714286,4.000640102416386,-4.2850741832979,0
0,15,-85,30,-35,50,1,-25,2.0,2.0,0.0,139.76000000000002,283.20000000000005,-143.44000000000003,0.49350282485875707,2.0,2.0,0.0,1.001717229536348,0.49435028248587565,-0.5073669470504723,0
-30,-22,-10,-45,-55,-28,-1,-190,4.0,1.0,3.0,145.05599999999998,87.6,57.45599999999999,1.655890410958904,4.0,2.0,2.0,1.1719611736157072,1.2557077625570776,0.08374658894137044,0
-55,-60,-20,-60,-50,-59,-1,-304,1.0,1.0,0.0,27.64,182.52,-154.88,0.15143545912776682,1.0,1.0,0.0,7.597684515195369,0.5478851632697787,-7.04979935192559,0
-20,-14,-35,-45,-25,12,1,-127,1.0,1.0,0.0,48.018947368421045,74.65714285714286,-26.638195488721813,0.6431929421717323,1.0,1.0,0.0,3.123766934104959,1.4734022196708763,-1.6503647144340827,0
8,56,50,5,-4,64,1,179,0.5,0.0,0.5,63.883870967741935,50.3,13.583870967741937,1.2700570768934778,1.0,1.0,0.0,1.5653403352858009,2.3061630218687874,0.7408226865829866,1
-50,-9,-33,-35,-45,-11,-1,-183,1.0,1.0,0.0,29.142168674698794,80.088,-50.9458313253012,0.36387684390543895,1.0,1.0,0.0,6.862907226723996,1.2486265108380783,-5.614280715885918,0
-12,-57,15,-15,70,-11,-1,-10,1.0,2.0,-1.0,54.285714285714285,86.70857142857143,-32.42285714285715,0.6260709107684196,2.0,2.0,0.0,2.6526315789473687,1.383946223803875,-1.2686853551434936,0
51,21,16,4,1,34,1,127,0.5,0.5,0.0,46.0,25.955555555555556,20.044444444444444,1.7722602739726028,1.0,1.0,0.0,2.130434782608696,7.705479452054795,5.575044669446099,1
10,55,5,115,95,45,1,325,1.0,0.0,1.0,229.28571428571428,11.476923076923077,217.8087912087912,19.97797778628878,1.0,1.0,0.0,0.6105919003115265,13.941018766756033,13.330426866444506,1
15,10,-35,25,-40,25,1,0,1.0,1.0,0.0,61.357894736842105,86.6,-25.24210526315789,0.7085207244439042,1.0,1.0,0.0,1.6297821238634413,1.5011547344110856,-0.12862738945235574,1
20,20,50,50,70,-110,-1,100,1.0,0.5,0.5,161.39999999999998,37.2,124.19999999999997,4.338709677419354,1.0,1.0,0.0,0.9913258983890956,5.376344086021505,4.38501818763241,1
15,65,29,35,24,20,1,188,2.0,1.0,1.0,259.44,29.93877551020408,229.5012244897959,8.665685071574643,2.0,1.0,1.0,0.34690101757631825,4.008179959100205,3.6612789415238867,1
40,35,40,65,60,35,1,275,1.0,0.25,0.75,135.0,47.88,87.12,2.819548872180451,1.0,1.0,0.0,0.8888888888888888,4.177109440267335,3.2882205513784464,1
-14,2,11,-21,-29,-12,-1,-63,1.0,1.0,0.0,57.15384615384615,67.416,-10.262153846153844,0.8477786601674107,1.0,1.0,0.0,1.5397039030955586,0.8899964400142399,-0.6497074630813187,0
8,-10,-60,40,-30,57,1,5,1.0,1.0,0.0,41.111111111111114,108.60000000000001,-67.4888888888889,0.37855535093104153,1.0,1.0,0.0,3.5027027027027025,1.47329650092081,-2.0294062017818923,0
-33,25,5,-120,-36,-76,-1,-235,1.0,1.0,0.0,49.93333333333334,103.68888888888888,-53.755555555555546,0.4815687955422204,1.0,1.0,0.0,3.3244325767690253,0.9644234890698672,-2.360009087699158,0
0,-50,-15,-20,15,-85,-1,-155,1.0,1.0,0.0,82.19999999999999,107.52941176470587,-25.32941176470588,0.7644420131291029,1.0,2.0,-1.0,1.8248175182481754,1.3949671772428887,-0.42985034100528674,0
46,50,-10,119,25,95,1,325,1.0,1.0,0.0,128.09538461538463,38.199999999999996,89.89538461538464,3.353282319774467,1.0,1.0,0.0,0.9368019024284786,5.549738219895288,4.61293631746681,1
0,-5,-70,0,0,40,1,-35,0.5,2.0,-1.5,20.8,223.20000000000002,-202.4,0.09318996415770608,0.5,4.0,-3.5,5.769230769230769,0.5376344086021505,-5.231596360628618,0
-30,13,-20,-17,-10,20,1,-44,0.5,0.25,0.25,158.06400000000002,104.53846153846155,53.525538461538474,1.5120176600441502,2.0,1.0,1.0,1.202044741370584,1.2435614422369388,0.04151670086635484,1
-5,-19,2,-12,-18,-45,-1,-97,0.5,0.5,0.0,57.63809523809524,97.86666666666666,-40.22857142857142,0.5889451148306735,2.0,2.0,0.0,2.1166556510244545,1.1444141689373297,-0.9722414820871248,0
22,40,34,25,24,5,1,150,1.0,2.0,-1.0,154.8,88.5,66.30000000000001,1.7491525423728815,1.0,2.0,-1.0,0.7751937984496123,1.8531073446327684,1.0779135461831562,1
-6,-20,-14,22,-20,8,1,-30,1.0,1.0,0.0,67.416,92.0,-24.584000000000003,0.7327826086956521,1.0,2.0,-1.0,2.9666548000474666,2.0434782608695654,-0.9231765391779012,0
-20,-33,-30,5,-20,43,1,-55,2.0,0.5,1.5,122.16,81.78666666666668,40.37333333333332,1.4936419954352786,2.0,1.0,1.0,0.8185985592665357,0.7336159113139875,-0.08498264795254817,1
-38,-15,-50,-105,-51,19,1,-240,1.0,1.0,0.0,30.95294117647059,241.6,-210.6470588235294,0.12811647837943124,1.0,2.0,-1.0,5.039908779931585,0.33112582781456956,-4.708782952117015,0
-25,-45,-80,-5,-35,-45,-1,-235,0.5,2.0,-1.5,41.720000000000006,322.79999999999995,-281.0799999999999,0.12924411400247834,1.0,2.0,-1.0,3.355704697986577,0.27881040892193315,-3.0768942890646436,0
25,-4,-12,53,15,-7,-1,70,1.0,1.0,0.0,49.37217391304347,56.8252427184466,-7.453068805403134,0.8688422882356872,1.0,1.0,0.0,2.9166226355278457,3.413975738937297,0.49735310340945116,0
15,2,21,71,113,1,1,223,1.0,2.0,-1.0,147.23414634146343,103.83529411764705,43.39885222381638,1.4179585813533189,1.0,2.0,-1.0,0.8557797435642579,1.5023793337865399,0.646599590222282,1
-20,-30,-10,-65,-90,35,1,-180,2.0,0.5,1.5,70.98461538461538,129.6,-58.61538461538461,0.5477207977207977,2.0,1.0,1.0,1.6905071521456438,0.617283950617284,-1.0732232015283598,0
36,39,20,39,13,39,1,186,1.0,0.5,0.5,190.448,105.13469387755102,85.31330612244899,1.8114667287832908,2.0,2.0,0.0,0.9451398807023439,2.3969252271139063,1.4517853464115624,1
-25,-45,-35,85,5,45,1,30,1.0,1.0,0.0,100.47692307692307,143.79999999999998,-43.32307692307691,0.6987268642345138,1.0,1.0,0.0,1.2938294288776604,0.5563282336578582,-0.7375011952198022,0
15,-50,-5,-15,5,15,1,-35,1.0,2.0,-1.0,29.400000000000002,217.20000000000002,-187.8,0.13535911602209943,1.0,2.0,-1.0,2.7210884353741496,0.5064456721915285,-2.214642763182621,0
-18,-80,-25,-80,-15,10,1,-208,1.0,1.0,0.0,20.599999999999998,153.85714285714286,-133.25714285714287,0.13389043639740017,1.0,1.0,0.0,7.087378640776699,0.7149489322191271,-6.372429708557572,0
5,-16,40,30,5,-54,-1,10,1.0,1.0,0.0,151.2,66.57777777777778,84.6222222222222,2.2710280373831773,2.0,2.0,0.0,0.6613756613756614,1.652202937249666,0.9908272758740047,1
5,-17,-5,5,5,15,1,8,1.0,0.5,0.5,62.400000000000006,64.57777777777778,-2.177777777777777,0.9662766689607708,1.0,1.0,0.0,1.923076923076923,2.0130763936682725,0.0899994705913496,1
-35,-30,-10,-5,5,50,1,-25,1.0,1.0,0.0,66.36,78.8,-12.439999999999998,0.8421319796954315,1.0,1.0,0.0,2.863170584689572,1.5228426395939088,-1.3403279450956633,0
14,10,-69,-109,-15,-86,-1,-255,1.0,0.5,0.5,29.789473684210524,296.9866666666666,-267.1971929824561,0.10030576126047364,1.0,2.0,-1.0,3.759717314487633,0.47140163419233194,-3.288315680295301,0
-50,-50,-42,-68,-32,-8,-1,-250,1.0,1.0,0.0,34.05882352941176,204.08421052631581,-170.02538699690405,0.16688612725882593,1.0,2.0,-1.0,5.578583765112263,0.44099442954404783,-5.137589335568215,0
45,15,0,-8,0,-10,-1,42,1.0,0.5,0.5,102.91384615384617,60.48615384615385,42.42769230769232,1.7014447044460272,1.0,1.0,0.0,1.2631925135288664,3.637196052497711,2.3740035389688448,1
20,-17,15,-9,15,45,1,69,0.5,1.0,-0.5,105.68888888888888,101.56,4.128888888888881,1.04065467594416,2.0,1.0,1.0,1.0407905803195963,1.4769594328475777,0.43616885252798143,1
16,-28,-17,-42,5,-46,-1,-112,1.0,1.0,0.0,143.28,100.47692307692307,42.80307692307693,1.4259990813045476,2.0,1.0,1.0,1.0329424902289224,1.7914561322921452,0.7585136420632228,0
38,50,18,38,83,40,1,267,1.0,2.0,-1.0,149.07999999999998,48.053097345132734,101.02690265486726,3.102401473296501,1.0,2.0,-1.0,0.4024684733029246,2.830202578268877,2.4277341049659524,1
-27,-71,35,95,54,-56,-1,30,0.5,2.0,-1.5,69.24,56.75555555555556,12.484444444444435,1.2199686765857476,1.0,1.0,0.0,3.032928942807626,2.748629600626468,-0.28429934218115793,0
-38,-26,-20,-21,-15,10,1,-110,1.0,1.0,0.0,38.74153846153847,76.92,-38.178461538461534,0.5036601464058563,1.0,1.0,0.0,5.162417599872924,1.6120644825793031,-3.5503531172936214,0
-30,-30,0,-15,-10,-20,-1,-105,0.5,1.0,-0.5,29.65714285714286,134.22857142857146,-104.5714285714286,0.2209450830140485,1.0,2.0,-1.0,4.720616570327553,0.5959982971477223,-4.124618273179831,0
9,25,-10,10,5,51,1,90,1.0,1.0,0.0,66.36,55.800000000000004,10.559999999999995,1.189247311827957,1.0,1.0,0.0,1.5370705244122966,2.150537634408602,0.6134671099963054,1
-62,-38,-65,-102,-80,-78,-1,-425,0.5,2.0,-1.5,24.20173913043478,413.3142857142857,-389.11254658385093,0.05855529307100908,2.0,2.0,0.0,8.263868927852831,0.18387944144891472,-8.079989486403917,0
-19,-14,100,5,-20,-5,-1,47,1.0,4.0,-3.0,75.6,157.4933333333333,-81.89333333333332,0.4800203183203522,1.0,4.0,-3.0,2.354497354497355,0.8889265154080598,-1.465570839089295,0
-30,33,-5,-10,-15,-8,-1,-35,2.0,1.0,1.0,137.16631578947369,52.86666666666666,84.29964912280703,2.5945709165726427,2.0,1.0,1.0,1.6038923166651318,3.0264817150063057,1.422589398341174,1
-100,-15,46,-55,-19,-65,-1,-208,0.25,1.0,-0.75,49.629629629629626,99.86666666666667,-50.23703703703705,0.49695890817386135,2.0,2.0,0.0,6.044776119402986,1.0013351134846462,-5.043441005918339,0
26,-5,-51,21,-46,65,1,10,0.5,2.0,-1.5,20.41860465116279,69.36,-48.941395348837204,0.294385880207076,1.0,2.0,-1.0,4.309794988610478,2.0184544405997693,-2.2913405480107087,0
0,10,-115,-15,25,75,1,-20,1.0,2.0,-1.0,101.86666666666666,184.7076923076923,-82.84102564102564,0.5515020267643955,4.0,2.0,2.0,1.37434554973822,0.7579543561552557,-0.6163911935829642,0
55,25,55,-10,10,40,1,175,2.0,1.0,1.0,74.32941176470587,52.16842105263157,22.160990712074295,1.4247970374590513,2.0,2.0,0.0,1.4798987021209247,4.217110573042777,2.7372118709218523,1
22,0,65,80,40,-12,-1,195,0.5,0.5,0.0,285.6,36.34736842105263,249.2526315789474,7.857515204170288,2.0,1.0,1.0,0.19607843137254902,2.7512308137851145,2.5551523824125653,1
-15,-32,10,30,20,-44,-1,-31,2.0,1.0,1.0,182.0,81.72,100.28,2.2271169848262358,2.0,1.0,1.0,0.6593406593406593,1.1013215859030838,0.4419809265624245,1
0,-4,14,-35,5,0,0,-20,1.0,1.0,0.0,62.400000000000006,129.15555555555557,-66.75555555555556,0.4831383344803854,1.0,2.0,-1.0,1.282051282051282,0.6194081211286991,-0.6626431609225828,0
65,50,60,100,60,85,1,420,1.0,0.5,0.5,353.6,25.42608695652174,328.1739130434783,13.906976744186046,4.0,2.0,2.0,0.19796380090497737,7.86593707250342,7.667973271598442,1
-25,-5,-25,-45,-5,15,1,-90,1.0,1.0,0.0,104.39999999999999,99.0,5.3999999999999915,1.0545454545454545,4.0,1.0,3.0,1.5325670498084292,1.1111111111111112,-0.421455938697318,1
13,100,45,48,25,77,1,308,1.0,1.0,0.0,149.66666666666666,125.92,23.746666666666655,1.1885853451927149,1.0,4.0,-3.0,1.0155902004454345,1.4135959339263025,0.398005733480868,1
-44,-7,-60,15,5,96,1,5,4.0,1.0,3.0,293.59999999999997,117.4,176.19999999999996,2.500851788756388,4.0,1.0,3.0,0.7152588555858311,1.039182282793867,0.3239234272080359,1
-10,-59,1,10,-65,-22,-1,-145,1.0,1.0,0.0,42.51320754716981,120.33333333333334,-77.82012578616353,0.35329535357758846,1.0,1.0,0.0,2.352210189952068,0.6648199445983379,-1.6873902453537304,0
6,0,-6,-42,0,-28,-1,-70,0.0,2.0,-2.0,74.4,167.04,-92.63999999999999,0.44540229885057475,2.0,2.0,0.0,2.5268817204301075,1.1973180076628354,-1.3295637127672721,0
-40,-90,-35,-15,-55,-95,-1,-330,1.0,1.0,0.0,21.635294117647057,164.39999999999998,-142.76470588235293,0.13160154572778016,1.0,2.0,-1.0,6.470908102229473,0.3649635036496351,-6.105944598579838,0
25,37,52,-3,17,60,1,188,1.0,1.0,0.0,82.69811320754718,24.622857142857143,58.07525606469004,3.358591276704747,1.0,1.0,0.0,1.6929044033766825,7.716407519145974,6.023503115769291,1
74,35,-15,-90,-55,-45,-1,-96,0.25,2.0,-1.75,58.32,234.8,-176.48000000000002,0.248381601362862,1.0,2.0,-1.0,2.400548696844993,1.2265758091993184,-1.1739728876456745,0
37,86,69,-1,9,41,1,241,1.0,1.0,0.0,130.776,87.52542372881356,43.250576271186446,1.4941487219209915,1.0,2.0,-1.0,0.6881996696641585,1.8737412858249418,1.1855416161607835,1
95,20,-15,5,30,5,1,140,1.0,1.0,0.0,177.94285714285715,48.0,129.94285714285715,3.7071428571428573,4.0,2.0,2.0,0.6743737957610789,6.458333333333333,5.783959537572255,1
35,35,-5,60,30,60,1,215,0.5,1.0,-0.5,53.44615384615385,36.34736842105263,17.09878542510122,1.4704270533983828,1.0,1.0,0.0,2.245250431778929,5.227338546191718,2.982088114412789,1
-28,-35,-16,-55,-5,-11,-1,-150,1.0,1.0,0.0,47.0,83.7529411764706,-36.7529411764706,0.5611743222362691,1.0,1.0,0.0,3.74468085106383,1.4327855035819637,-2.311895347481866,0
39,3,60,85,40,25,1,252,1.0,1.0,0.0,336.0,33.096000000000004,302.904,10.15228426395939,2.0,1.0,1.0,0.27380952380952384,5.1365723954556435,4.86276287164612,1
20,-9,-17,-10,-17,-25,-1,-58,2.0,0.5,1.5,83.088,37.2,45.88799999999999,2.233548387096774,2.0,1.0,1.0,1.9256691700365878,5.376344086021505,3.4506749159849175,1
-3,-15,-25,-50,-25,-7,-1,-125,1.0,2.0,-1.0,41.90526315789474,187.02857142857144,-145.12330827067672,0.22405808287905832,1.0,2.0,-1.0,3.388595830193419,0.7271616254201039,-2.661434204773315,0
-20,-35,-5,-35,-40,-60,-1,-195,1.0,0.5,0.5,86.45714285714286,469.6,-383.14285714285717,0.18410805548795325,2.0,4.0,-2.0,1.3879709187045606,0.17035775127768313,-1.2176131674268775,0
-15,48,-8,5,-15,25,1,40,2.0,1.0,1.0,106.32,58.90588235294118,47.414117647058816,1.8049131216297183,2.0,1.0,1.0,1.6930022573363432,2.5464349910125823,0.8534327336762391,1
-10,23,100,3,15,41,1,172,2.0,1.0,1.0,85.19999999999999,46.24,38.95999999999999,1.8425605536332177,2.0,2.0,0.0,1.0563380281690142,1.513840830449827,0.45750280228081275,1
-45,-115,-40,-65,-5,5,1,-265,1.0,1.0,0.0,11.799999999999999,230.8,-219.0,0.051126516464471396,1.0,1.0,0.0,11.016949152542374,0.17331022530329288,-10.84363892723908,0
24,16,-102,-4,-107,8,1,-165,0.25,1.0,-0.75,9.330666666666668,70.53488372093024,-61.20421705426357,0.1322844268600945,0.5,1.0,-0.5,12.860817376393253,2.3818001978239365,-10.479017178569316,0
15,7,27,57,73,0,0,179,0.5,1.0,-0.5,62.0,26.874666666666666,35.12533333333333,2.3070053582059935,0.5,1.0,-0.5,1.6129032258064515,4.83726929946418,3.224366073657728,1
-20,-25,-30,-25,-35,-20,-1,-155,2.0,1.0,1.0,105.73333333333332,108.60000000000001,-2.8666666666666885,0.9736034376918353,2.0,1.0,1.0,1.4186633039092058,1.012891344383057,-0.40577195952614886,0
35,30,70,50,5,-18,-1,172,0.5,0.5,0.0,150.66666666666666,42.61538461538461,108.05128205128204,3.5354993983152827,2.0,1.0,1.0,0.7300884955752213,4.223826714801445,3.4937382192262234,1
-31,-40,-19,-40,-19,-40,-1,-189,0.5,0.5,0.0,34.406349206349205,80.4,-45.9936507936508,0.4279396667456368,1.0,1.0,0.0,4.359660453958295,1.0945273631840795,-3.2651330907742153,0
-28,-65,-10,5,-30,-82,-1,-210,0.5,2.0,-1.5,40.13333333333333,280.56,-240.42666666666668,0.1430472388556221,1.0,2.0,-1.0,3.9867109634551494,0.3706871970345024,-3.616023766420647,0
1,10,8,10,-43,-22,-1,-36,1.0,1.0,0.0,48.79591836734695,75.0,-26.20408163265305,0.6506122448979593,1.0,1.0,0.0,2.213299874529485,1.4666666666666666,-0.7466332078628184,0
25,10,22,40,42,-2,-1,137,2.0,0.5,1.5,159.53488372093022,24.77647058823529,134.75841313269493,6.438967291680471,2.0,1.0,1.0,0.8148688046647231,7.264957264957266,6.450088460292543,1
9,3,-2,26,8,35,1,79,1.0,2.0,-1.0,95.02285714285715,118.0,-22.97714285714285,0.8052784503631961,1.0,2.0,-1.0,0.7366648625894521,0.7457627118644068,0.009097849274954717,1
45,-1,35,25,35,-44,-1,95,1.0,1.0,0.0,77.8,33.86526315789474,43.93473684210526,2.29733930125575,1.0,1.0,0.0,1.6709511568123394,6.49633221434788,4.82538105753554,1
35,-36,-25,-1,-15,34,1,-8,0.5,1.0,-0.5,70.48888888888888,254.17600000000002,-183.68711111111114,0.27732314966357513,2.0,4.0,-2.0,1.986128625472888,0.8261991690796927,-1.1599294563931952,0
-26,-20,-13,-22,-17,38,1,-60,1.0,1.0,0.0,53.40350877192983,84.84,-31.436491228070174,0.62946144238484,2.0,1.0,1.0,2.471747700394218,0.9429514380009429,-1.528796262393275,0
15,45,0,15,0,35,1,110,2.0,0.5,1.5,185.52,30.16,155.36,6.151193633952255,2.0,1.0,1.0,0.32341526520051744,2.9840848806366047,2.6606696154360874,1
54,53,76,40,18,44,1,285,1.0,1.0,0.0,196.7733333333333,57.07228915662651,139.7010441767068,3.447791147702483,1.0,1.0,0.0,0.45737904865157886,3.4692843571880934,3.0119053085365146,1
-42,-56,10,70,49,-21,-1,10,1.0,1.0,0.0,113.0,152.66666666666666,-39.66666666666666,0.740174672489083,1.0,2.0,-1.0,2.1238938053097347,1.0218340611353713,-1.1020597441743634,0
-85,-30,-60,35,-15,40,1,-115,1.0,2.0,-1.0,83.2,95.35384615384615,-12.153846153846146,0.8725395288802841,2.0,2.0,0.0,3.7259615384615383,1.468215553404324,-2.2577459850572144,0
-48,-55,-25,-5,-25,-10,-1,-168,1.0,1.0,0.0,47.0,168.94285714285715,-121.94285714285715,0.27820057500422796,1.0,1.0,0.0,3.74468085106383,0.4735328936242178,-3.271147957439612,0
0,10,25,-10,-30,-55,-1,-60,2.0,2.0,0.0,122.16,141.77142857142854,-19.611428571428547,0.8616686819830714,2.0,2.0,0.0,0.9004584151931893,0.7758968158000807,-0.12456159939310851,0
10,15,-25,45,25,5,1,75,2.0,1.0,1.0,185.52,41.54666666666667,143.97333333333336,4.465340179717587,2.0,2.0,0.0,0.5390254420008624,2.8883183568677793,2.3492929148669166,1
10,-55,-35,22,8,5,1,-45,4.0,1.0,3.0,274.49142857142857,89.74285714285715,184.74857142857144,3.0586437440305634,4.0,1.0,3.0,0.437172120909318,1.560012734797835,1.122840613888517,1
-53,-20,8,-17,-11,42,1,-51,2.0,1.0,1.0,110.29629629629629,76.16571428571429,34.130582010582,1.4481095244843463,2.0,1.0,1.0,2.2303559435862996,1.8380973816490358,-0.3922585619372638,0
20,-30,10,15,75,-45,-1,45,1.0,1.0,0.0,67.98461538461538,55.800000000000004,12.184615384615377,1.2183622828784118,1.0,1.0,0.0,1.9121973297126047,3.0465949820788527,1.134397652366248,1
